"source_id","confederation_id","source_name","source_url","last_checked","notes"
"SRC_AFC_WIKI","AFC","2026 FIFA World Cup qualification (AFC) - Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","2026-05-16","Used for AFC format, entrants, July 2023 rank seedings, round standings, playoff ties, qualified teams."
"SRC_FIFA_STANDINGS","AFC","FIFA AFC qualifying standings","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/qualifiers/afc/standings","2026-05-16","Official FIFA standings page; use as validation source if importer is later built."
"SRC_REUTERS_IRQ_BOL","AFC","Reuters: Iraq qualify for World Cup with win over Bolivia","https://www.reuters.com/sports/soccer/iraq-qualify-world-cup-with-win-over-bolivia-2026-04-01/","2026-05-16","Used for Iraq 2-1 Bolivia inter-confederation playoff final and final qualification confirmation."
"SRC_FIFA_IRQ_BOL","AFC","FIFA Iraq-Bolivia match report","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/iraq-bolivia-match-report-quotes","2026-05-16","Official FIFA match report link for Iraq-Bolivia playoff final."
"caf_source_001","CAF","FIFA CAF Qualifiers Standings","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/qualifiers/caf/standings","2026-05-16","Primary standings hub for CAF qualifying."
"caf_source_002","CAF","2026 FIFA World Cup qualification (CAF) - Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","2026-05-16","Used for consolidated standings, runner-up ranking, playoff results, qualified-team table, ranking snapshot at draw."
"caf_source_003","CAF","Sky Sports African Qualifying Table","https://www.skysports.com/fifa-world-cup-african-qualifying-table","2026-05-16","Cross-check for group standings and last-updated table."
"caf_source_004","CAF","CAF Online","https://www.cafonline.com/","2026-05-16","Official CAF website for general confederation reference and visual style inspiration."
"CONCACAF_MAIN","CONCACAF","2026 FIFA World Cup qualification (CONCACAF)","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONCACAF)","2026-05-16","Format, entrants, host berths, schedule summary."
"CONCACAF_R1","CONCACAF","CONCACAF first round","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_first_round","2026-05-16","First round ties and match summaries."
"CONCACAF_R2","CONCACAF","CONCACAF second round","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round","2026-05-16","Second round standings and match matrix."
"CONCACAF_R3","CONCACAF","CONCACAF third round","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_third_round","2026-05-16","Third round standings, runner-up ranking, direct qualifiers and playoff teams."
"REUTERS_DIRECT","CONCACAF","Reuters - Curacao, Haiti and Panama qualify","https://www.reuters.com/sports/soccer/curacao-haiti-panama-qualify-world-cup-2025-11-19/","2026-05-16","Confirms Panama, Curaçao and Haiti direct World Cup qualification and Jamaica/Suriname playoff berths."
"REUTERS_SUR","CONCACAF","Reuters - Bolivia beat Suriname","https://www.reuters.com/sports/soccer/bolivia-rally-beat-suriname-reach-world-cup-playoff-final-2026-03-27/","2026-05-16","Confirms Suriname playoff elimination."
"REUTERS_JAM","CONCACAF","Reuters - DR Congo beat Jamaica","https://www.reuters.com/sports/soccer/dr-congo-score-extra-time-winner-qualify-world-cup-2026-03-31/","2026-05-16","Confirms Jamaica playoff elimination."
"FIFA_PLAYOFF_REVIEW","CONCACAF","FIFA Play-Off Tournament review","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/play-off-tournament-review","2026-05-16","FIFA review of play-off tournament."
"CONMEBOL_WIKI","CONMEBOL","Wikipedia - 2026 FIFA World Cup qualification (CONMEBOL)","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)","2026-05-16","Used for format, entrants, final standings, score matrix, qualified teams and playoff path."
"FIFA_WCQ_WIKI","CONMEBOL","Wikipedia - 2026 FIFA World Cup qualification summary","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification","2026-05-16","Used for global qualification summary and CONMEBOL slot count."
"REUTERS_FINAL","CONMEBOL","Reuters - Bolivia seal playoff spot","https://www.reuters.com/sports/soccer/bolivia-seal-playoff-spot-with-win-over-brazil-argentina-stunned-by-ecuador-2025-09-10/","2026-05-16","Used as secondary confirmation of final-day outcomes and Bolivia playoff berth."
"ofc_wiki","OFC","2026 FIFA World Cup qualification (OFC) - Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(OFC)","2026-05-16","Useful consolidated source for format, entrants, ranking seed list, schedule, standings, and bracket."
"ofc_round_one","OFC","OFC Round One official results","https://www.oceaniafootball.com/fifa-world-cup-2026-oceania-qualifiers/","2026-05-16","Official OFC Round One match results and goalscorers."
"ofc_round_two","OFC","OFC Round Two official results and tables","https://www.oceaniafootball.com/fifa-world-cup-2026-oceania-qualifiers-round-two/","2026-05-16","Official OFC Round Two group matches, tables, and goalscorers."
"ofc_round_three","OFC","OFC Round Three official results","https://www.oceaniafootball.com/fifa-world-cup-26-oceania-qualifiers-round-three/","2026-05-16","Official OFC Third Round semifinal and final results."
"ofc_playoff","OFC","OFC report on New Caledonia vs Jamaica playoff","https://www.oceaniafootball.com/brave-new-caledonia-fall-narrowly-in-historic-fifa-world-cup-play-off/","2026-05-16","Official OFC report confirming New Caledonia lost 1-0 to Jamaica and was eliminated."
"UEFA_QUALIFIED_ARTICLE","UEFA","UEFA - World Cup 2026: Which European teams have qualified?","https://www.uefa.com/european-qualifiers/news/029f-1f318027c4dd-8e9bab478b48-1000--world-cup-2026-which-european-teams-have-qualified/","2026-05-16","Official UEFA article confirming the 16 European qualifiers."
"UEFA_RESULTS_ARTICLE","UEFA","UEFA - European Qualifiers for 2026 World Cup: All the results","https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/","2026-05-16","Official UEFA results hub for European Qualifiers."
"FIFA_UEFA_STANDINGS","UEFA","FIFA - UEFA Standings | FIFA World Cup 26 Qualifiers","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/qualifiers/uefa/standings","2026-05-16","Official FIFA standings hub."
"WIKI_UEFA_QUALIFICATION","UEFA","Wikipedia - 2026 FIFA World Cup qualification (UEFA)","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)","2026-05-16","Used as a consolidated mirror for standings matrices, format summary, and source references to FIFA/UEFA."
"WIKI_UEFA_PLAYOFFS","UEFA","Wikipedia - 2026 FIFA World Cup qualification ? UEFA second round","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_second_round","2026-05-16","Used as consolidated source for UEFA play-off paths and scores."
