"bracket_id","round_id","confederation_id","bracket_name","bracket_stage","match_id","next_match_id","slot_label","winner_advances_to","loser_eliminated","notes"
"afc-playoff-path-a","afc-playoffs","AFC","Playoff Path A","Qualifier","afc-po-1","","AFC playoff slot","World Cup or inter-confederation playoff","true","Placeholder bracket row."
"afc-playoff-path-b","afc-playoffs","AFC","Playoff Path B","Qualifier","afc-po-2","","AFC playoff slot","World Cup or inter-confederation playoff","true","Placeholder bracket row."
"caf_second_round_bracket","caf_2026_second_round","CAF","CAF second-round playoff bracket","Semi-final","caf_po_sf1","caf_po_final","Nigeria vs Gabon","CAF playoff final","TRUE","Nigeria won after extra time."
"caf_second_round_bracket","caf_2026_second_round","CAF","CAF second-round playoff bracket","Semi-final","caf_po_sf2","caf_po_final","Cameroon vs DR Congo","CAF playoff final","TRUE","DR Congo won 1-0."
"caf_second_round_bracket","caf_2026_second_round","CAF","CAF second-round playoff bracket","Final","caf_po_final","caf_icp_final","Nigeria vs DR Congo","Inter-confederation playoffs","TRUE","DR Congo won on penalties."
"interconfed_pathway_1","caf_2026_interconfed_playoff","CAF","Inter-confederation playoff Pathway 1","Final","caf_icp_final","","DR Congo vs Jamaica","2026 FIFA World Cup","TRUE","DR Congo won after extra time and qualified."
"ICPO_PATH_A","CONMEBOL_ICPO","CONMEBOL","Inter-confederation Playoff Path A","Semi-final","ICPO_SF1","ICPO_FINAL_A","Bolivia vs Suriname","ICPO_FINAL_A","TRUE","Bolivia advanced to face Iraq."
"ICPO_PATH_A","CONMEBOL_ICPO","CONMEBOL","Inter-confederation Playoff Path A","Final","ICPO_FINAL_A","","Iraq vs Bolivia","World Cup","TRUE","Iraq qualified; Bolivia eliminated."
"ofc_r1_bracket","ofc_r1","OFC","Round One Bracket","semifinal","ofc_r1_m1","ofc_r1_m3","R1 SF1","Round One final","TRUE","Tonga beat Cook Islands."
"ofc_r1_bracket","ofc_r1","OFC","Round One Bracket","semifinal","ofc_r1_m2","ofc_r1_m3","R1 SF2","Round One final","TRUE","Samoa beat American Samoa."
"ofc_r1_bracket","ofc_r1","OFC","Round One Bracket","final","ofc_r1_m3","","R1 Final","Round Two","TRUE","Samoa advanced to Round Two."
"ofc_r3_bracket","ofc_r3","OFC","Third Round Bracket","semifinal","ofc_r3_sf1","ofc_r3_final","R3 SF1","Third Round final","TRUE","New Caledonia advanced to final."
"ofc_r3_bracket","ofc_r3","OFC","Third Round Bracket","semifinal","ofc_r3_sf2","ofc_r3_final","R3 SF2","Third Round final","TRUE","New Zealand advanced to final."
"ofc_r3_bracket","ofc_r3","OFC","Third Round Bracket","final","ofc_r3_final","","R3 Final","World Cup direct qualification","FALSE","New Zealand qualified; New Caledonia advanced to inter-confederation playoff."
"ofc_icp_bracket","ofc_icp","OFC","Inter-confederation Playoff Path A","semifinal","ofc_icp_sf","","Path A semifinal","Inter-confederation playoff final","TRUE","New Caledonia lost to Jamaica and was eliminated."
"UEFA_PATH_A","UEFA_R2","UEFA","UEFA Play-off Path A","Semi-final","UEFA_R2_PATH_A_SF1","UEFA_R2_PATH_A_FINAL","Path A Sf1","Path A Final","true","Semi-final winner advanced to path final."
"UEFA_PATH_A","UEFA_R2","UEFA","UEFA Play-off Path A","Semi-final","UEFA_R2_PATH_A_SF2","UEFA_R2_PATH_A_FINAL","Path A Sf2","Path A Final","true","Semi-final winner advanced to path final."
"UEFA_PATH_A","UEFA_R2","UEFA","UEFA Play-off Path A","Final","UEFA_R2_PATH_A_FINAL","","Path A Final","2026 FIFA World Cup","true","Path winner qualified for the 2026 FIFA World Cup."
"UEFA_PATH_B","UEFA_R2","UEFA","UEFA Play-off Path B","Semi-final","UEFA_R2_PATH_B_SF1","UEFA_R2_PATH_B_FINAL","Path B Sf1","Path B Final","true","Semi-final winner advanced to path final."
"UEFA_PATH_B","UEFA_R2","UEFA","UEFA Play-off Path B","Semi-final","UEFA_R2_PATH_B_SF2","UEFA_R2_PATH_B_FINAL","Path B Sf2","Path B Final","true","Semi-final winner advanced to path final."
"UEFA_PATH_B","UEFA_R2","UEFA","UEFA Play-off Path B","Final","UEFA_R2_PATH_B_FINAL","","Path B Final","2026 FIFA World Cup","true","Path winner qualified for the 2026 FIFA World Cup."
"UEFA_PATH_C","UEFA_R2","UEFA","UEFA Play-off Path C","Semi-final","UEFA_R2_PATH_C_SF1","UEFA_R2_PATH_C_FINAL","Path C Sf1","Path C Final","true","Semi-final winner advanced to path final."
"UEFA_PATH_C","UEFA_R2","UEFA","UEFA Play-off Path C","Semi-final","UEFA_R2_PATH_C_SF2","UEFA_R2_PATH_C_FINAL","Path C Sf2","Path C Final","true","Semi-final winner advanced to path final."
"UEFA_PATH_C","UEFA_R2","UEFA","UEFA Play-off Path C","Final","UEFA_R2_PATH_C_FINAL","","Path C Final","2026 FIFA World Cup","true","Path winner qualified for the 2026 FIFA World Cup."
"UEFA_PATH_D","UEFA_R2","UEFA","UEFA Play-off Path D","Semi-final","UEFA_R2_PATH_D_SF1","UEFA_R2_PATH_D_FINAL","Path D Sf1","Path D Final","true","Semi-final winner advanced to path final."
"UEFA_PATH_D","UEFA_R2","UEFA","UEFA Play-off Path D","Semi-final","UEFA_R2_PATH_D_SF2","UEFA_R2_PATH_D_FINAL","Path D Sf2","Path D Final","true","Semi-final winner advanced to path final."
"UEFA_PATH_D","UEFA_R2","UEFA","UEFA Play-off Path D","Final","UEFA_R2_PATH_D_FINAL","","Path D Final","2026 FIFA World Cup","true","Path winner qualified for the 2026 FIFA World Cup."
